iter	Passed	Remaining
219	36305	128720
220	36463	128528
221	36631	128373
222	36784	128167
223	36940	127971
224	37096	127776
225	37250	127576
226	37405	127375
227	37570	127212
228	37728	127023
229	37884	126831
230	38042	126642
231	38209	126487
232	38383	126351
233	38551	126199
234	38751	126147
235	38925	126012
236	39082	125822
237	39233	125611
238	39391	125426
239	39550	125243
240	39706	125051
241	39864	124865
242	40021	124677
243	40176	124481
244	40330	124285
245	40487	124096
246	40658	123949
247	40816	123766
248	40974	123581
249	41127	123382
250	41282	123189
251	41439	123003
252	41604	122840
253	41760	122651
254	41919	122469
255	42075	122282
256	42233	122099
257	42388	121908
258	42542	121715
259	42706	121550
260	42863	121364
261	43019	121176
262	43172	120981
263	43326	120787
264	43513	120688
265	43678	120527
266	43852	120389
267	44053	120325
268	44210	120141
269	44367	119957
270	44525	119775
271	44696	119630
272	44855	119450
273	45008	119256
274	45163	119067
275	45321	118885
276	45479	118706
277	45643	118540
278	45801	118361
279	45957	118175
280	46112	117988
281	46268	117803
282	46425	117622
283	46581	117438
284	46746	117276
285	46900	117087
286	47058	116907
287	47214	116724
288	47371	116542
289	47527	116360
290	47690	116194
291	47851	116022
292	48004	115832
293	48159	115648
294	48321	115480
295	48477	115297
296	48651	115158
297	48835	115042
298	48994	114867
299	49175	114742
300	49362	114633
301	49520	114454
302	49685	114294
303	49846	114122
304	50000	113935
305	50154	113749
306	50311	113570
307	50466	113385
308	50621	113201
309	50794	113059
310	50949	112874
311	51100	112683
312	51255	112500
313	51413	112323
314	51570	112145
315	51732	111977
316	51893	111808
317	52050	111631
318	52204	111446
319	52362	111269
320	52518	111091
321	52669	110900
322	52837	110745
323	53014	110610
324	53188	110468
325	53358	110317
326	53519	110148
327	53690	109999
328	53866	109861
329	54068	109775
330	54233	109613
331	54404	109463
332	54601	109366
333	54774	109221
334	54935	109050
335	55088	108865
336	55242	108680
337	55406	108518
338	55566	108345
339	55731	108184
340	55894	108018
341	56063	107864
342	56216	107680
343	56379	107514
344	56557	107378
345	56730	107230
346	56901	107079
347	57072	106929
348	57250	106791
349	57421	106640
350	57595	106494
351	57774	106357
352	57938	106192
353	58102	106029
354	58260	105853
355	58427	105694
356	58599	105545
357	58753	105362
358	58913	105191
359	59078	105028
360	59341	105039
361	59524	104907
362	59718	104795
363	59919	104694
364	60107	104570
365	60263	104390
366	60418	104208
367	60591	104059
368	60799	103967
369	60964	103805
370	61129	103640
371	61312	103505
372	61483	103352
373	61663	103212
374	61830	103050
375	61987	102873
376	62143	102694
377	62301	102516
378	62458	102339
379	62621	102171
380	62797	102025
381	62966	101867
382	63158	101746
383	63324	101582
384	63493	101424
385	63664	101269
386	63829	101105
387	64017	100976
388	64178	100804
389	64337	100630
390	64515	100485
391	64676	100314
392	64863	100183
393	65041	100039
394	65224	99900
395	65401	99754
396	65582	99613
397	65738	99433
398	65902	99266
399	66060	99090
400	66214	98908
401	66373	98734
402	66530	98557
403	66688	98381
404	66842	98200
405	67007	98035
406	67168	97865
407	67321	97682
408	67605	97688
409	67770	97523
410	67925	97342
411	68089	97176
412	68259	97017
413	68438	96871
414	68608	96712
415	68775	96549
416	68940	96384
417	69098	96208
418	69255	96031
419	69411	95854
420	69577	95690
421	69743	95525
422	69915	95369
423	70126	95266
424	70337	95162
425	70518	95017
426	70688	94858
427	70844	94679
428	70997	94497
429	71155	94322
430	71310	94143
431	71469	93969
432	71636	93805
433	71792	93628
434	71948	93449
435	72104	93272
436	72260	93095
437	72418	92920
438	72586	92757
439	72747	92588
440	72902	92409
441	73060	92235
442	73216	92057
443	73371	91879
444	73529	91704
445	73696	91541
446	73851	91364
447	74008	91188
448	74166	91015
449	74316	90831
450	74471	90653
451	74639	90492
452	74799	90320
453	74958	90147
454	75110	89968
455	75288	89817
456	75487	89693
457	75685	89566
458	75867	89420
459	76026	89248
460	76181	89070
461	76338	88896
462	76493	88719
463	76657	88552
464	76812	88376
465	76968	88200
466	77126	88026
467	77283	87851
468	77439	87676
469	77603	87510
470	77763	87339
471	77924	87170
472	78080	86994
473	78236	86819
474	78393	86645
475	78551	86472
476	78716	86307
477	78875	86135
478	79028	85958
479	79184	85783
480	79342	85610
481	79497	85434
482	79657	85265
483	79815	85092
484	79972	84919
485	80129	84745
486	80285	84571
487	80453	84410
488	80654	84282
489	80854	84154
490	81051	84023
491	81215	83856
492	81371	83682
493	81526	83507
494	81693	83343
495	81853	83173
496	82010	83000
497	82165	82825
498	82320	82650
499	82475	82475
500	82629	82299
501	82798	82138
502	82959	81969
503	83111	81792
504	83266	81617
505	83467	81488
506	83627	81318
507	83795	81156
508	83954	80985
509	84119	80821
510	84301	80671
511	84457	80498
512	84615	80327
513	84781	80162
514	84941	79993
515	85093	79816
516	85247	79641
517	85402	79467
518	85555	79291
519	85720	79126
520	85912	78987
521	86111	78853
522	86300	78709
523	86470	78549
524	86625	78375
525	86790	78210
526	86942	78033
527	87097	77859
528	87253	77687
529	87410	77514
530	87565	77341
531	87727	77173
532	87889	77006
533	88048	76835
534	88208	76667
535	88361	76492
536	88514	76316
537	88671	76145
538	88837	75981
539	88994	75810
540	89152	75639
541	89306	75465
542	89458	75290
543	89615	75118
544	89782	74955
545	89942	74787
546	90101	74617
547	90258	74446
548	90414	74275
549	90569	74102
550	90724	73929
551	90891	73767
552	91064	73609
553	91245	73457
554	91439	73316
555	91625	73168
556	91783	72998
557	91945	72831
558	92100	72658
559	92254	72485
560	92406	72311
561	92567	72143
562	92767	72006
563	92948	71854
564	93104	71681
565	93264	71513
566	93425	71346
567	93628	71210
568	93795	71047
569	93957	70879
570	94110	70706
571	94264	70533
572	94419	70361
573	94576	70191
574	94732	70019
575	94893	69852
576	95048	69680
577	95205	69510
578	95359	69337
579	95515	69166
580	95672	68996
581	95835	68830
582	95995	68662
583	96150	68491
584	96306	68320
585	96494	68171
586	96698	68035
587	96887	67887
588	97050	67721
589	97201	67546
590	97355	67374
591	97514	67205
592	97670	67035
593	97838	66872
594	97998	66704
595	98158	66537
596	98316	66367
597	98470	66196
598	98627	66026
599	98786	65857
600	98947	65690
601	99104	65520
602	99256	65347
603	99408	65174
604	99564	65005
605	99721	64835
606	99884	64669
607	100039	64498
608	100203	64334
609	100354	64161
610	100494	63981
611	100653	63813
612	100814	63646
613	100970	63476
614	101123	63305
615	101276	63133
616	101427	62960
617	101581	62789
618	101764	62637
619	101979	62503
620	102171	62355
621	102323	62183
622	102476	62012
623	102651	61854
624	102817	61690
625	102984	61527
626	103137	61356
627	103296	61188
628	103437	61010
629	103577	60831
630	103722	60655
631	103867	60479
632	104005	60300
633	104151	60125
634	104298	59951
635	104453	59781
636	104610	59613
637	104766	59444
638	104931	59280
639	105082	59108
640	105237	58939
641	105393	58770
642	105547	58601
643	105706	58433
644	105872	58271
645	106032	58104
646	106186	57934
647	106346	57768
648	106503	57600
649	106660	57432
650	106815	57263
651	106998	57109
652	107197	56963
653	107391	56815
654	107547	56647
655	107705	56479
656	107873	56317
657	108033	56151
658	108193	55984
659	108351	55817
660	108506	55648
661	108665	55481
662	108814	55310
663	108977	55145
664	109134	54977
665	109284	54806
666	109440	54638
667	109593	54468
668	109763	54307
669	109924	54141
670	110089	53978
671	110245	53810
672	110401	53642
673	110562	53476
674	110714	53307
675	110868	53138
676	111014	52965
677	111174	52799
678	111339	52636
679	111499	52470
680	111662	52305
681	111824	52140
682	111990	51977
683	112146	51810
684	112330	51655
685	112551	51517
686	112784	51385
687	112975	51233
688	113131	51065
689	113286	50896
690	113450	50732
691	113607	50565
692	113760	50396
693	113922	50230
694	114081	50064
695	114239	49897
696	114401	49732
697	114562	49567
698	114723	49401
699	114882	49235
700	115048	49071
701	115205	48905
702	115365	48739
703	115527	48574
704	115689	48409
705	115849	48243
706	116008	48077
707	116172	47912
708	116330	47746
709	116488	47579
710	116646	47413
711	116804	47246
712	116966	47081
713	117131	46918
714	117291	46752
715	117449	46586
716	117629	46428
717	117835	46280
718	118046	46135
719	118216	45973
720	118373	45805
721	118531	45639
722	118686	45471
723	118842	45304
724	119001	45138
725	119157	44971
726	119312	44803
727	119467	44636
728	119625	44469
729	119782	44303
730	119945	44138
731	120106	43973
732	120263	43806
733	120423	43641
734	120584	43476
735	120738	43308
736	120896	43142
737	121055	42976
738	121213	42810
739	121375	42645
740	121530	42478
741	121688	42312
742	121843	42145
743	122003	41979
744	122172	41817
745	122326	41650
746	122482	41483
747	122641	41317
748	122810	41155
749	122998	40999
750	123181	40841
751	123390	40692
752	123542	40524
753	123698	40357
754	123852	40190
755	124014	40025
756	124175	39860
757	124331	39694
758	124488	39527
759	124641	39360
760	124797	39193
761	124953	39027
762	125118	38863
763	125278	38698
764	125433	38531
765	125590	38365
766	125746	38199
767	125902	38033
768	126066	37869
769	126226	37703
770	126383	37538
771	126534	37370
772	126693	37204
773	126848	37038
774	127004	36872
775	127169	36708
776	127328	36543
777	127483	36377
778	127639	36210
779	127792	36044
780	127949	35878
781	128129	35718
782	128314	35561
783	128507	35405
784	128690	35246
785	128846	35080
786	128999	34913
787	129166	34750
788	129321	34584
789	129477	34418
790	129633	34252
791	129789	34086
792	129943	33919
793	130109	33756
794	130268	33591
795	130426	33425
796	130581	33259
797	130743	33095
798	130898	32929
799	131059	32764
800	131224	32601
801	131380	32435
802	131552	32273
803	131713	32109
804	131871	31944
805	132029	31778
806	132197	31616
807	132354	31450
808	132512	31285
809	132666	31119
810	132823	30953
811	132978	30788
812	133140	30623
813	133324	30464
814	133492	30302
815	133664	30140
816	133856	29982
817	134020	29818
818	134183	29654
819	134338	29488
820	134493	29323
821	134651	29158
822	134810	28993
823	134968	28828
824	135132	28664
825	135293	28500
826	135449	28334
827	135607	28169
828	135763	28004
829	135918	27838
830	136071	27672
831	136239	27509
832	136397	27345
833	136555	27180
834	136706	27013
835	136862	26848
836	137015	26682
837	137177	26518
838	137337	26354
839	137491	26188
840	137649	26024
841	137809	25859
842	137967	25694
843	138120	25529
844	138285	25365
845	138447	25202
846	138625	25040
847	138782	24876
848	138953	24713
849	139145	24555
850	139330	24395
851	139486	24230
852	139639	24064
853	139794	23899
854	139953	23734
855	140109	23569
856	140280	23407
857	140438	23242
858	140595	23077
859	140752	22913
860	140909	22748
861	141069	22584
862	141240	22421
863	141399	22257
864	141558	22092
865	141710	21927
866	141865	21762
867	142019	21597
868	142177	21432
869	142342	21269
870	142497	21104
871	142652	20939
872	142807	20775
873	142960	20609
874	143113	20444
875	143281	20281
876	143441	20117
877	143601	19953
878	143791	19793
879	143949	19629
880	144103	19464
881	144286	19303
882	144485	19144
883	144645	18980
884	144799	18815
885	144956	18651
886	145108	18486
887	145268	18322
888	145428	18158
889	145582	17993
890	145739	17828
891	145893	17664
892	146049	17499
893	146204	17335
894	146374	17172
895	146532	17008
896	146682	16843
897	146843	16679
898	146998	16514
899	147155	16350
900	147322	16187
901	147481	16023
902	147634	15858
903	147790	15694
904	147940	15529
905	148096	15365
906	148262	15202
907	148422	15038
908	148579	14874
909	148736	14710
910	148909	14547
911	149078	14384
912	149238	14220
913	149402	14057
914	149583	13895
915	149766	13734
916	149923	13569
917	150076	13405
918	150235	13241
919	150401	13078
920	150557	12914
921	150711	12750
922	150866	12585
923	151026	12422
924	151181	12257
925	151348	12094
926	151506	11930
927	151661	11766
928	151813	11602
929	151970	11438
930	152128	11274
931	152290	11111
932	152455	10948
933	152620	10784
934	152773	10620
935	152926	10456
936	153080	10292
937	153237	10128
938	153403	9965
939	153559	9801
940	153715	9637
941	153872	9474
942	154027	9310
943	154209	9148
944	154377	8984
945	154546	8821
946	154703	8658
947	154894	8496
948	155067	8333
949	155223	8169
950	155403	8007
951	155556	7843
952	155711	7679
953	155864	7515
954	156020	7351
955	156174	7187
956	156335	7024
957	156500	6861
958	156657	6697
959	156813	6533
960	156970	6370
961	157127	6206
962	157281	6043
963	157443	5879
964	157602	5716
965	157757	5552
966	157911	5388
967	158067	5225
968	158222	5061
969	158387	4898
970	158541	4735
971	158700	4571
972	158856	4408
973	159012	4244
974	159166	4081
975	159339	3918
976	159512	3755
977	159668	3591
978	159823	3428
979	159978	3264
980	160170	3102
981	160341	2939
982	160503	2775
983	160656	2612
984	160814	2448
985	160967	2285
986	161123	2122
987	161279	1958
988	161447	1795
989	161601	1632
990	161752	1468
991	161912	1305
992	162070	1142
993	162224	979
994	162383	815
995	162547	652
996	162702	489
997	162859	326
998	163016	163
999	163172	0
